p105v_mb2|Dilute sal ammoniac
p050v_mb1|Florence lacquer
p074v_4|Gilding wood
p074v_3|Green gum
p080r_3|Lead
p006v_a2|Minium
p105v_mb2|Plaster of Paris
p169v_2|Relief awls
p170r_1|Rue vinegar
p106r_mb1|Spalt
p050r_mb1|Steel
p105v_mb2|Sublimate
p077r_a2|Tin
p102r_1|Turnipseed oil
p141r_1|Wax
p105v_mb2|[plaster]
p106r_mb1|alum
p006v_a1|aqua fortis
p139r_1|aqua fortis
p001r_2|ash
p050v_mb1|ashes
p110v_3|bismuth
p050r_mb1|bitumen
p006v_a2|black graphite
p139r_1|black sulphured wax
169r|black wax
169r|black wax mixed with sulphur
169r|bleach
p105v_mb2|borax
p140v_1|bread
p074r_2|breadcrust
p140v_2|brique
p140v_3|candle wax
p050r_2|cardboard
p080r_3|carton
169r|cement
p061r_2|ceruse
p074v_2|ceruse
p106r_mb1|chalk from Champagne
p001r_2|charcoal
p075v_4|charcoal
p110v_3|charcoal
p139r_1|charcoal
p141r_1|charcoal
p141r_1|cinnabar mixed with oil
p140v_3|clay
p140v_3|clay
169r|clay base
169r|clay base
p006v_a2|cloth
p142v_2|cloth waste or cloth shavings
p139r_1|coal
p080v_mb3|coarse salt
p007r_a3|codfish skin
p106r_mb1|cooked plaster
p006v_a1|copper
p006v_a2|copper
p007r_a1|copper
p139r_1|copper
p080r_3|cork
p006v_a2|cotton
p080v_mb3|cotton
p140v_3|crocum
p105v_mb2|crocum ferri
p142v_3|crocum sand
p105v_mb2|crushed brick
p170r_1|crushed juniper berries
p080v_mb1|distilled vinegar
p007r_a2|dragon's blood
p074v_4|egg white
p001r_2|enamel
p139r_1|esbaucher wax
p106r_mb1|essence of sal ammoniac
p106r_mb1|essence of sal ammoniac
p006v_a1|felt
p007r_a1|fer blanc
p074v_4|fig tree wood
p074r_2|flour glue
p142v_3|flower
p105v_mb2|flowers
p106r_mb1|gemstones
p006v_a2|gilt
p080r_3|glass tin
p080r_3|glass tin
p080v_mb3|glasse
p006v_a2|glue
p006v_a2|glue
p007r_a2|glue
p074v_4|glue
p006v_a2|gold
p006v_a2|gold
p006v_a2|gold
p006v_a2|gold
p074v_4|gold
p105v_mb2|gold
p105v_mb2|gold
p105v_mb2|gold
p105v_mb2|gold
p105v_mb2|gold
p105v_mb2|gold
p106r_mb1|gold
p106r_mb1|gold
p140v_3|goldsmith's cement
p080v_mb3|good vinegar
p074v_3|green wax
p141r_1|gum
p074r_2|gum arabic
p074r_2|gum arabic
p074v_1|gum arabic
p061r_4|gum water
p074r_3|gum water
169r|half figure
169r|half figure in lead
169r|half of your lead figure which you have oiled
p142v_2|horse manure
169r|hot urine
p001r_2|iron
p006v_a1|iron
p006v_a2|iron
p050r_mb1|iron
p140v_3|iron wire
p007r_a1|lacquer
p007r_a1|latten
p006v_a1|lead
p050r_1|lead
p077r_a2|lead
p105v_mb2|lead
p105v_mb2|lead
p106r_mb1|lead
p108r_a1|lead
p108r_a1|lead
p108r_a1|lead
p108r_a1|lead
p108r_a1|lead
p108r_a1|lead
p108r_a1|lead
p110v_3|lead
p110v_3|lead
p110v_3|lead
p110v_3|lead
p110v_3|lead
p140v_2|lead
p158v_3|lead
p142v_2|lean earth that artillery founders and bell founders use to make their trusseaulx and molds, which is lean and sandy
p105v_mb2|leaves
p158v_3|leaves
p080r_3|linen
p074r_2|linseed oil
p108r_a1|looking-glass tin
p006v_a1|marble
p061r_4|marble
p006v_a2|massicot
p007r_a2|mastic
p074r_2|mastic
p075v_2|meat
p050r_1|medal
p080r_3|medal
p108r_a1|medal
p141r_1|melted butter
169r|melted sulphur
169r|melted wax
p074r_1|mercury
p105v_mb2|metal
p106r_mb1|metal
p140v_2|mixed plaster
p142v_3|mold
p106r_mb1|murky water
p106r_mb1|murky water
p075v_2|natural sulphur
p139r_1|noyau
p140v_2|noyau
p141r_1|noyau
169r|noyau
169r|noyau
169r|noyau
p105r_1|old flour
p075v_2|olive oil
p074r_2|onions
p080v_mb2|oyster shells
p050r_1|paper
p050r_2|paper
p110v_3|paper
p110v_3|paper
p007r_a3|parchment
p074v_4|partridge feather
169r|perfume
p079_3|pipe
p079_3|pipe
p079_3|pipe
p079_3|pipe
p074v_2|pitch
p140v_1|pith of bread
p108r_a1|plant
p108r_a1|plants
p050r_1|plaster
169r|plaster
169r|plaster
169r|plaster
169r|plaster
169r|plaster
p140v_2|plaster & brick
p140v_3|potter's earth
p108r_a1|pure lead
p108r_a1|pure tin
p108r_a1|pure tin
p080r_3|quicklime
p105v_mb2|raw plaster
p108r_a1|resin
p110v_3|resin
169r|resin.
p074r_2|rock alum
p102r_2|rock alum
p075v_4|rosemary
p170r_1|rue and berries crushed together
p074v_1|saffran
p007r_a2|saffron
p105v_mb2|sal ammoniac
p105v_mb2|sal ammoniac
p140v_3|salt
p102r_2|saltpeter
p105v_mb2|saltpeter
p105v_mb2|saltpeter
p105v_mb2|sand
p105v_mb2|sand
p105v_mb2|sand
p105v_mb2|sand
p105v_mb2|sand
p105v_mb2|sand
p106r_mb1|sand
p139r_1|sand
p139r_1|sand
p140v_3|sand
p141r_1|sand
p074r_2|sandarac
p006v_a2|satin
p106r_mb1|silver
p139r_1|silver
p139r_1|silver
169r|silver
169r|silver
p080r_3|slate
p080r_3|slate
p006v_a2|smoke
p102r_1|smoke
p105v_mb2|smoke
p080r_3|soft tin
p080r_3|soft tin
p080r_3|solder
p007r_a2|spirits
p007r_a3|spirits
p105v_mb2|spirits
p140v_3|spirits
p050r_1|stick
p102r_1|stone
p105v_mb2|stone
p105v_mb2|stone alum
p080r_3|stones
p080r_3|stones
p080r_3|stones
p080r_3|stones
p080r_3|stones
p106r_mb1|stones
p105v_mb2|sugar
p139r_1|sulfur
139v_1|sulfur
139v_1|sulfur
139v_1|sulfur
p140v_1|sulfur
p050r_1|sulphur
p074r_1|sulphur
p075v_2|sulphur
p139r_1|sulphur
p050r_1|tallow
p080r_3|tallow
169r|tempered sand
p006v_a1|tin
p006v_a1|tin
p006v_a1|tin
p061r_4|tin
p077r_a2|tin
p077r_a2|tin
p077r_a2|tin
p080r_3|tin
p080r_3|tin
p106r_mb1|tin
p108r_a1|tin
p108r_a1|tin
p108r_a1|tin
p108r_a1|tin
p108r_a1|tin
p108r_a1|tin
p110v_3|tin
p110v_3|tin
p110v_3|tin
p140v_2|tin
p158v_3|tin
p006v_a2|tinsel
p050r_1|tripoli
p007r_a1|turpentine varnish
p169v_2|untempered steel
p006v_a2|velvet
p074v_3|verdigris
p105v_mb2|verdigris
p105v_mb2|verdigris
p074r_1|vermillion
p074r_1|vermillion
p074r_3|vermillion
p007r_a2|vert de vessie
p080v_mb3|vinegar
p170r_1|vinegar
p170r_1|vinegar
p102r_2|vitriol
p006v_a2|walnut oil
p007r_a3|water
p049v_mb1|water
p074v_1|water
p079_3|water
p105v_mb2|water
p106r_mb1|water
p106r_mb1|water
p106r_mb1|water
p106r_mb1|water
p050r_1|wax
139v_1|wax
p140v_3|wax
p140v_3|wax
169r|wax
169r|wax
169r|wax
169r|wax relief
p140v_3|wheat oil
p141r_1|wheat oil
p102r_1|white iron
p006v_a2|white lead
p006v_a2|white lead
p050v_mb1|white lead
169r|white plaster
p074v_2|white wax
p139r_1|white wax
p007r_a3|white wine
p006v_a2|wood
p007r_a1|wood
p001r_2|wooden
p006v_a1|wooden
p001r_2|yellow latten
p080v_mb3|☿
p142v_3|☿
p142v_3|☿
p142v_3|☿
p142v_3|☿
p142v_3|☿
p142v_3|☿
p142v_3|☿
